;cuerpo;fecha;seccion;titulo
368;Su nombre revive un modelo que se fabricó en la Argentina en la década del ´60. ;17/11/2018;autos;Jeep Gladiator: así podría ser la futura pick up derivada del Wrangler, el mítico todoterreno
369;La nave fue localizada un año y dos días después sobre el lecho marino a 907 metros de metros de profundidad en el Atlántico Sur. A través de un comunicado, los parientes pidieron respeto y honor para los tripulantes. ;17/11/2018;sociedad;El sentido mensaje de los familiares del ARA San Juan tras el hallazgo del submarino
370;La solidaridad internacional en los primeros tiempos de la búsqueda del submarino fue conmovedora. Ahora la noticia de que lo encontraron llegó a las portadas de los principales sitios de información.;17/11/2018;internacional;El hallazgo del ARA San Juan en los medios del mundo
371;Para los parientes, el Gobierno les ocultó información. Los restos de la nave fueron localizados a 907 metros de profundidad. ;17/11/2018;sociedad;Los familiares de la tripulación del ARA San Juan pidieron que refloten el submarino 
372;Los seres queridos de los tripulantes recibieron la noticia en el hotel que la Armada tiene en Mar del Plata. ;17/11/2018;sociedad;El momento en el que los familiares se enteraron que habían encontrado el ARA San Juan
373;Hay seis trámites que ya se pueden completar de manera online de principio a fin. ;17/11/2018;autos;Registro Automotor: crecieron 1500% en un año los turnos para trámites obtenidos a través de la web 
374;"Rodolfo Ramallo explicó que esperan recibir imágenes del submarino para seguir con la investigación. ""Vamos a ir paso a paso y siempre a disposición de la Justicia"", afirmó. ";17/11/2018;política;"El vocero de la Armada, tras el hallazgo del ARA San Juan: ""Ahora se abre otro capítulo"" "
375;"El Banco Nación subió el interés de los préstamos; antes lo habían hecho los bancos privados. Quedan pocas opciones a tasas de un dígito. La familia debe reunir casi 10 salarios mínimos para acceder a un dos ambientes en Capital Federal. ";17/11/2018;economía;Las tasas de los créditos hipotecarios UVA superan el 10% y hacen falta más de $100 000 de ingresos para llegar a la casa propia
376;"Una fuente de la investigación le aseguró a TN.com.ar que el casco ""casi intacto"" aunque restan verificar las imágenes. Este medio anticipó en exclusiva la información a partir de tres fuentes calificadas.";17/11/2018;sociedad;"El ARA San Juan está ""casi entero"" y tiene ""achatada"" la proa"
377;Mirá las portadas de los principales medios gráficos internacionales de hoy, sábado 17 de noviembre. ;17/11/2018;internacional;Las investigaciones sobre el asesinato de Khashoggi y el Brexit en el foco de los diarios del mundo
